X,Y,name,folders,descriptio,altitude,alt_mode,time_begin,time_end,time_when,איזור,זרם,כתובת,מגמה,מגמה �,מגמה2,שם הג�,מספר �,icon_url
35.0868883,32.9886178,אגוז,"גני ילדים בנהריה תשפ""ד","מספר סדורי: 1<br>איזור: שבי צפון <br>שם הגן ותיאור: אגוז (ט.ח)<br>כתובת: שקד 22 נהריה<br>מגמה: טרום חובה מ""מ<br>זרם: טרום חובה<br>מגמה2: מ""מ<br>מגמה בקיצור: (",0.000000000000000,,,,,שבי צפון,טרום חובה,שקד 22 נהריה,"טרום חובה מ""מ",(ט.ח),"מ""מ",אגוז (ט.ח),"1.0",./0.png
35.0872032,32.988396,דובדבן,"גני ילדים בנהריה תשפ""ד","מספר סדורי: 2<br>איזור: שבי צפון<br>שם הגן ותיאור: דובדבן (ט.ח)<br>כתובת: שקד 20 נהריה<br>מגמה: טרום חובה מ""מ<br>זרם: טרום חובה<br>מגמה2: מ""מ<br>מגמה בקיצור",0.000000000000000,,,,,שבי צפון,טרום חובה,שקד 20 נהריה,"טרום חובה מ""מ",(ט.ח),"מ""מ",דובדבן (ט.ח),"2.0",./0.png
35.0868588,32.9884715,חרוב,"גני ילדים בנהריה תשפ""ד","מספר סדורי: 3<br>איזור: שבי צפון<br>שם הגן ותיאור: חרוב (ח)<br>כתובת: שקד 22 נהריה<br>מגמה: חובה מ""מ <br>זרם: חובה<br>מגמה2: מ""מ<br>מגמה בקיצור: (ח)",0.000000000000000,,,,,שבי צפון,חובה,שקד 22 נהריה,"חובה מ""מ",(ח),"מ""מ",חרוב (ח),"3.0",./0.png
35.0869766,32.9889362,פטל,"גני ילדים בנהריה תשפ""ד","מספר סדורי: 4<br>איזור: שבי צפון<br>שם הגן ותיאור: פטל (ט.ח)<br>כתובת: שקד 24 נהריה<br>מגמה: טרום חובה ממ""ד <br>זרם: טרום חובה<br>מגמה2: ממ""ד<br>מגמה בקיצור:",0.000000000000000,,,,,שבי צפון,טרום חובה,שקד 24 נהריה,"טרום חובה ממ""ד",(ט.ח),"ממ""ד",פטל (ט.ח),"4.0",./1.png
35.0904418,32.9888699,מיתר,"גני ילדים בנהריה תשפ""ד","מספר סדורי: 5<br>איזור: שבי צפון<br>שם הגן ותיאור: מיתר<br>כתובת: שד' שז""ר 13 נהריה<br>מגמה: חינוך מיוחד<br><br>זרם: חינוך מיוחד<br><br>מגמה2: חינוך מיוחד<br>�",0.000000000000000,,,,,שבי צפון,חינוך מיוחד,"שד' שז""ר 13 נהריה",חינוך מיוחד,,חינוך מיוחד,מיתר,"5.0",./2.png
35.0905222,32.9889374,שיר,"גני ילדים בנהריה תשפ""ד","מספר סדורי: 6<br>איזור: שבי צפון<br>שם הגן ותיאור: שיר<br>כתובת: שד' שז""ר 13 נהריה<br>מגמה: חינוך מיוחד<br>זרם: חינוך מיוחד<br>מגמה2: חינוך מיוחד<br>מגמה ב",0.000000000000000,,,,,שבי צפון,חינוך מיוחד,"שד' שז""ר 13 נהריה",חינוך מיוחד,,חינוך מיוחד,שיר,"6.0",./2.png
35.0888224,32.9888219,סול,"גני ילדים בנהריה תשפ""ד","מספר סדורי: 7<br>איזור: שבי צפון<br>שם הגן ותיאור: סול <br>כתובת: שד' שז""ר 44 נהריה<br>מגמה: חינוך מיוחד <br>זרם: חינוך מיוחד<br>מגמה2: חינוך מיוחד<br>מגמה",0.000000000000000,,,,,שבי צפון,חינוך מיוחד,"שד' שז""ר 44 נהריה",חינוך מיוחד,,חינוך מיוחד,סול,"7.0",./2.png
35.087167,32.9889294,חצב,"גני ילדים בנהריה תשפ""ד",מספר סדורי: 8<br>איזור: שבי צפון<br>שם הגן ותיאור: חצב <br>כתובת: שקד 24 נהריה<br>מגמה: חינוך מיוחד <br>זרם: חינוך מיוחד<br>מגמה2: חינוך מיוחד<br>מגמה בקי�,0.000000000000000,,,,,שבי צפון,חינוך מיוחד,שקד 24 נהריה,חינוך מיוחד,,חינוך מיוחד,חצב,"8.0",./2.png
35.087153,32.9884917,יקינתון,"גני ילדים בנהריה תשפ""ד",מספר סדורי: 9<br>איזור: שבי צפון<br>שם הגן ותיאור: יקינתון <br>כתובת: שקד 20  נהריה<br>מגמה: חינוך מיוחד <br>זרם: חינוך מיוחד<br>מגמה2: חינוך מיוחד<br>מגמ�,0.000000000000000,,,,,שבי צפון,חינוך מיוחד,שקד 20  נהריה,חינוך מיוחד,,חינוך מיוחד,יקינתון,"9.0",./2.png
35.0935224,32.9887472,לילך,"גני ילדים בנהריה תשפ""ד",מספר סדורי: 10<br>איזור: שבי צפון<br>שם הגן ותיאור: לילך <br>כתובת: קישון 6 נהריה<br>מגמה: חינוך מיוחד <br>זרם: חינוך מיוחד<br>מגמה2: חינוך מיוחד<br>מגמה �,0.000000000000000,,,,,שבי צפון,חינוך מיוחד,קישון 6 נהריה,חינוך מיוחד,,חינוך מיוחד,לילך,"10.0",./2.png
